annee,trimestre,mois,type_contrat,nombre_offres
2015,T1,1,cdi,165800
2015,T1,2,cdi,164200
2015,T1,3,cdi,188900
2015,T2,4,cdi,164500
2015,T2,5,cdi,150400
2015,T2,6,cdi,166300
2015,T3,7,cdi,304300
2015,T3,8,cdi,246000
2015,T3,9,cdi,270700
2015,T4,10,cdi,237600
2015,T4,11,cdi,272200
2015,T4,12,cdi,294200
2016,T1,1,cdi,326100
2016,T1,2,cdi,282800
2016,T1,3,cdi,301300
2016,T2,4,cdi,280500
2016,T2,5,cdi,287100
2016,T2,6,cdi,354000
2016,T3,7,cdi,355300
2016,T3,8,cdi,256100
2016,T3,9,cdi,376500
2016,T4,10,cdi,353100
2016,T4,11,cdi,289000
2016,T4,12,cdi,277600
2017,T1,1,cdi,316200
2017,T1,2,cdi,315100
2017,T1,3,cdi,421300
2017,T2,4,cdi,337700
2017,T2,5,cdi,339200
2017,T2,6,cdi,340900
2017,T3,7,cdi,283600
2017,T3,8,cdi,241200
2017,T3,9,cdi,297100
2017,T4,10,cdi,306100
2017,T4,11,cdi,361400
2017,T4,12,cdi,286400
2018,T1,1,cdi,319800
2018,T1,2,cdi,343700
2018,T1,3,cdi,478000
2018,T2,4,cdi,348000
2018,T2,5,cdi,351400
2018,T2,6,cdi,263700
2018,T3,7,cdi,484100
2018,T3,8,cdi,337700
2018,T3,9,cdi,369900
2018,T4,10,cdi,393100
2018,T4,11,cdi,337900
2018,T4,12,cdi,320400
2019,T1,1,cdi,319600
2019,T1,2,cdi,284000
2019,T1,3,cdi,308300
2019,T2,4,cdi,326200
2019,T2,5,cdi,303900
2019,T2,6,cdi,447200
2019,T3,7,cdi,460100
2019,T3,8,cdi,388700
2019,T3,9,cdi,490500
2019,T4,10,cdi,518600
2019,T4,11,cdi,481800
2019,T4,12,cdi,428300
2020,T1,1,cdi,524200
2020,T1,2,cdi,494100
2020,T1,3,cdi,348900
2020,T2,4,cdi,226300
2020,T2,5,cdi,329000
2020,T2,6,cdi,402100
2020,T3,7,cdi,430700
2020,T3,8,cdi,353900
2020,T3,9,cdi,459400
2020,T4,10,cdi,445200
2020,T4,11,cdi,339200
2020,T4,12,cdi,399300
2021,T1,1,cdi,431300
2021,T1,2,cdi,422300
2021,T1,3,cdi,447600
2021,T2,4,cdi,465500
2021,T2,5,cdi,455100
2021,T2,6,cdi,551400
2021,T3,7,cdi,558400
2021,T3,8,cdi,277700
2021,T3,9,cdi,631900
2021,T4,10,cdi,673200
2021,T4,11,cdi,594900
2021,T4,12,cdi,563700
2022,T1,1,cdi,608300
2022,T1,2,cdi,600400
2022,T1,3,cdi,729900
2022,T2,4,cdi,577900
2022,T2,5,cdi,606100
2022,T2,6,cdi,584000
2022,T3,7,cdi,520000
2022,T3,8,cdi,448300
2022,T3,9,cdi,603500
2022,T4,10,cdi,694600
2022,T4,11,cdi,627900
2022,T4,12,cdi,766000
2023,T1,1,cdi,691600
2023,T1,2,cdi,689900
2023,T1,3,cdi,709500
2023,T2,4,cdi,582300
2023,T2,5,cdi,618400
2023,T2,6,cdi,616500
2023,T3,7,cdi,553800
2023,T3,8,cdi,450800
2023,T3,9,cdi,621200
2023,T4,10,cdi,680400
2023,T4,11,cdi,645600
2023,T4,12,cdi,126700
2024,T1,1,cdi,599400
2024,T1,2,cdi,564300
2024,T1,3,cdi,691200
2024,T2,4,cdi,597700
2024,T2,5,cdi,526400
2024,T2,6,cdi,543500
2024,T3,7,cdi,636000
2024,T3,8,cdi,432400
2024,T3,9,cdi,546700
2024,T4,10,cdi,676200
2024,T4,11,cdi,593000
2024,T4,12,cdi,609700
2025,T1,1,cdi,552700
2025,T1,2,cdi,498100
2025,T1,3,cdi,546900
2025,T2,4,cdi,554100
2025,T2,5,cdi,507800
2025,T2,6,cdi,504900
2025,T3,7,cdi,542000
2025,T3,8,cdi,354700
2025,T3,9,cdi,483900
2025,T4,10,cdi,632300
2025,T4,11,cdi,426900
2025,T4,12,cdi,407900
2015,T1,1,cdd_de_plus_de_6_mois,26100
2015,T1,2,cdd_de_plus_de_6_mois,24100
2015,T1,3,cdd_de_plus_de_6_mois,30900
2015,T2,4,cdd_de_plus_de_6_mois,34100
2015,T2,5,cdd_de_plus_de_6_mois,28700
2015,T2,6,cdd_de_plus_de_6_mois,43100
2015,T3,7,cdd_de_plus_de_6_mois,49800
2015,T3,8,cdd_de_plus_de_6_mois,36300
2015,T3,9,cdd_de_plus_de_6_mois,54500
2015,T4,10,cdd_de_plus_de_6_mois,37600
2015,T4,11,cdd_de_plus_de_6_mois,33700
2015,T4,12,cdd_de_plus_de_6_mois,29600
2016,T1,1,cdd_de_plus_de_6_mois,33000
2016,T1,2,cdd_de_plus_de_6_mois,31400
2016,T1,3,cdd_de_plus_de_6_mois,36400
2016,T2,4,cdd_de_plus_de_6_mois,38600
2016,T2,5,cdd_de_plus_de_6_mois,40500
2016,T2,6,cdd_de_plus_de_6_mois,49000
2016,T3,7,cdd_de_plus_de_6_mois,46900
