grand_domaine,domaine,offres_au_t3_2025,part_des_offres,evolution_sur_un_an,part_des_offres_durables,difference_de_la_part_d_offres_durables_sur_un_an
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux","Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",31490,0.014,-0.297,0.518,-3.7
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",Engins agricoles et forestiers,1920,0.001,-0.551,0.483,-18.2
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",Espaces naturels et espaces verts,12460,0.005,-0.324,0.48,-6.1
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",Etudes et assistance technique,4090,0.002,-0.195,0.791,-0.8
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",Production agricole,11110,0.005,-0.293,0.428,-1.6
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",Soins aux animaux,1910,0.001,0.471,0.741,-4.3
Arts et faconnage d'ouvrages d'art,Arts et faconnage d'ouvrages d'art,3440,0.001,-0.185,0.535,-9.9
Arts et faconnage d'ouvrages d'art,Arts plastiques,100,0.0,-0.705,0.707,-18.6
Arts et faconnage d'ouvrages d'art,Céramique,30,0.0,-0.091,0.7,3.3
Arts et faconnage d'ouvrages d'art,Décoration,290,0.0,-0.457,0.675,-0.8
Arts et faconnage d'ouvrages d'art,Fibres et papier,30,0.0,0.474,0.964,12.2
Arts et faconnage d'ouvrages d'art,Instruments de musique,80,0.0,0.49,0.855,-8.6
Arts et faconnage d'ouvrages d'art,"Métal, verre, bijouterie et horlogerie",600,0.0,-0.411,0.646,-8.2
Arts et faconnage d'ouvrages d'art,Taxidermie,20,0.0,0.125,0.444,-36.8
Arts et faconnage d'ouvrages d'art,Tissu et cuirs,2300,0.001,0.037,0.463,-6.6
"Banque, assurance, immobilier","Banque, assurance, immobilier",56900,0.024,-0.106,0.846,-3.7
"Banque, assurance, immobilier",Assurance,12520,0.005,-0.161,0.779,-8.0
"Banque, assurance, immobilier",Banque,17110,0.007,0.168,0.794,-4.8
"Banque, assurance, immobilier",Finance,2320,0.001,-0.186,0.589,-9.9
"Banque, assurance, immobilier",Gestion administrative banque et assurances,470,0.0,-0.415,0.47,-15.4
"Banque, assurance, immobilier",Immobilier,24480,0.011,-0.196,0.948,0.8
"Commerce, vente et grande distribution","Commerce, vente et grande distribution",267730,0.115,-0.19,0.78,-0.7
"Commerce, vente et grande distribution",Commerce alimentaire et métiers de bouche,46740,0.02,-0.143,0.691,-3.9
"Commerce, vente et grande distribution",Commerce non alimentaire et de prestations de confort,32640,0.014,-0.266,0.677,-1.1
"Commerce, vente et grande distribution",Direction de magasin de détail,12580,0.005,-0.162,0.96,-0.6
"Commerce, vente et grande distribution",Force de vente,115500,0.05,-0.216,0.851,0.0
"Commerce, vente et grande distribution",Grande distribution,60270,0.026,-0.127,0.73,1.3
"Communication, media et multimedia","Communication, media et multimedia",16920,0.007,-0.226,0.794,-1.1
"Communication, media et multimedia",Edition et communication,9010,0.004,-0.227,0.881,-1.2
"Communication, media et multimedia",Images et sons,2990,0.001,-0.109,0.867,2.7
"Communication, media et multimedia",Industries graphiques,4010,0.002,-0.241,0.51,-3.1
"Communication, media et multimedia",Publicité,920,0.0,-0.415,0.95,-2.0
"Construction, bâtiment et travaux publics","Construction, bâtiment et travaux publics",241300,0.104,-0.141,0.519,-5.6
"Construction, bâtiment et travaux publics",Conception et études,46560,0.02,-0.209,0.908,0.4
"Construction, bâtiment et travaux publics",Conduite et encadrement de chantier - travaux,42870,0.018,-0.06,0.815,-2.6
"Construction, bâtiment et travaux publics",Engins de chantier,14790,0.006,-0.123,0.252,-6.6
"Construction, bâtiment et travaux publics",Extraction,1240,0.001,-0.213,0.471,-14.3
"Construction, bâtiment et travaux publics",Montage de structures,9650,0.004,-0.119,0.303,-7.5
"Construction, bâtiment et travaux publics",Second oeuvre,80180,0.034,-0.153,0.369,-8.2
"Construction, bâtiment et travaux publics",Travaux et gros oeuvre,46010,0.02,-0.123,0.243,-7.8
Hôtellerie- restauration tourisme loisirs et animation,Hôtellerie- restauration tourisme loisirs et animation,139130,0.06,-0.214,0.76,-1.6
Hôtellerie- restauration tourisme loisirs et animation,Accueil et promotion touristique,850,0.0,-0.408,0.677,18.6
Hôtellerie- restauration tourisme loisirs et animation,Animation d'activités de loisirs,13080,0.006,-0.012,0.656,2.5
Hôtellerie- restauration tourisme loisirs et animation,"Conception, commercialisation et vente de produits touristiques",1610,0.001,-0.266,0.854,-0.1
Hôtellerie- restauration tourisme loisirs et animation,Gestion et direction,21290,0.009,-0.262,0.972,0.6
Hôtellerie- restauration tourisme loisirs et animation,Personnel d'étage en hôtellerie,6630,0.003,-0.029,0.576,1.9
Hôtellerie- restauration tourisme loisirs et animation,Production culinaire,61340,0.026,-0.234,0.717,-2.4
Hôtellerie- restauration tourisme loisirs et animation,Accueil en hôtellerie,9130,0.004,0.06,0.833,7.2
Hôtellerie- restauration tourisme loisirs et animation,Service en hôtellerie,25200,0.011,-0.296,0.757,-4.9
Industrie,Industrie,339520,0.146,-0.133,0.542,-5.6
Industrie,Affaires et support technique client,8170,0.004,-0.339,0.888,-3.7
Industrie,"Conception, recherche, études et développement",40270,0.017,-0.194,0.866,-3.1
Industrie,Hygiène Sécurité Environnement -HSE- industriels,11560,0.005,-0.24,0.842,-2.3
Industrie,Méthodes et gestion industrielles,29720,0.013,-0.088,0.703,-0.5
Industrie,Qualité et analyses industrielles,34010,0.015,-0.074,0.65,-5.9
Industrie,Alimentaire,18110,0.008,-0.105,0.348,0.9
Industrie,Bois,13830,0.006,-0.188,0.406,-4.0
Industrie,Chimie et pharmacie,2190,0.001,-0.19,0.35,-7.7
Industrie,Cuir et textile,4010,0.002,-0.318,0.502,-16.5
Industrie,"Direction, encadrement et pilotage de fabrication et production industrielles",29820,0.013,-0.231,0.824,-1.9
Industrie,Electronique et électricité,15350,0.007,-0.059,0.338,-3.9
Industrie,Energie,730,0.0,0.0,0.722,-1.8
Industrie,"Matériaux de construction, céramique et verre",1950,0.001,-0.295,0.484,-2.6
Industrie,"Mécanique, travail des métaux et outillage",98440,0.042,-0.056,0.347,-7.0
Industrie,Papier et carton,450,0.0,-0.092,0.325,-6.0
Industrie,"Plastique, caoutchouc",4080,0.002,0.013,0.443,-5.9
Industrie,Préparation et conditionnement,19180,0.008,-0.161,0.244,-4.4
Industrie,Traitements thermiques et traitements de surfaces,7640,0.003,-0.126,0.303,-4.3
Installation et maintenance,Installation et maintenance,192680,0.083,-0.178,0.717,-4.3
Installation et maintenance,Encadrement,9680,0.004,-0.266,0.901,-2.3
Installation et maintenance,Entretien technique,15840,0.007,-0.167,0.648,-1.3
Installation et maintenance,"Equipements de production, équipements collectifs",95110,0.041,-0.136,0.705,-5.0
Installation et maintenance,Equipements domestiques et informatique,22570,0.01,0.032,0.774,-3.8
Installation et maintenance,Travaux d'accès difficile,2020,0.001,-0.342,0.402,-22.1
Installation et maintenance,"Véhicules, engins, aéronefs",47470,0.02,-0.292,0.714,-3.9
Santé,Santé,191950,0.082,-0.072,0.652,1.0
